province,city_or_area,cemetery_name,qabrmap_category,location,latitude,longitude,site_status,verification_status,verification_source,source_url_1,source_url_2
Western Cape,Kleinvlei,Kleinvlei Cemetery,Muslim section in municipal cemetery,"Apollo Road, Kleinvlei, Cape Town",,,active,Verified,City of Cape Town / MJC,https://www.news24.com/additional-space-for-muslim-burials-available-20210125,https://www.capetown.gov.za/Family%20and%20home/See-all-city-facilities/Our-service-facilities/Cemeteries/Kleinvlei%20Cemetery
Western Cape,Strand,Rusthof Cemetery,Dedicated Muslim cemetery,"Albertyn Road, Strand, Cape Town",,,active,Verified,City of Cape Town + MJC opening announcement,https://mjc.org.za/category/muslim-cemetery/,https://www.capetown.gov.za/Family%20and%20home/see-all-city-facilities/our-service-facilities/cemeteries
Western Cape,Strand,Strand Muslim Council Cemetery,Dedicated Muslim cemetery,"Gordon's Bay Road, Strand, Cape Town",,,active_or_burial_site,Verified,MJC,https://mjc.org.za/community/cemeteries/,
Western Cape,Paarl,Paarl Muslim Maqbara (Parys Cemetery),Dedicated Muslim cemetery,"Jan Van Riebeeck Road, Paarl",,,active_or_burial_site,Verified,MJC,https://mjc.org.za/community/cemeteries/,
Western Cape,Malmesbury,Malmesbury Maqbara,Dedicated Muslim cemetery,"Schoonspruit Avenue, Malmesbury",,,active_or_burial_site,Verified,MJC,https://mjc.org.za/community/cemeteries/,
Western Cape,Wellington,Wellington Muslim Cemetery,Dedicated Muslim cemetery,"Corner Champagne and Jan Van Riebeeck Road, Wellington",,,active_or_burial_site,Verified,MJC,https://mjc.org.za/community/cemeteries/,
Western Cape,Wynberg,Brodie Road Muslim Cemetery,Historic Muslim cemetery,"Brodie Road, Wynberg, Cape Town",-34.00264,18.46765,historic_or_closed,Verified; MJC notes efforts to reopen it,Mapcarta + MJC,https://mapcarta.com/W1160852419,https://mjc.org.za/departments/muslim-cemetery-board-mancom/
Western Cape,Bo-Kaap,Tana Baru Cemetery,Historic Muslim cemetery,"Dawes Street / top of Longmarket Street, Bo-Kaap, Cape Town",,,historic_or_closed,Verified; MJC says closed by Council in 1886,MJC + heritage source,https://mjc.org.za/departments/muslim-cemetery-board-mancom/,https://sahistory.org.za/place/circle-kramats-cape-town
Western Cape,Constantia,Spaanschemat River Road Muslim Cemetery,Dedicated Muslim cemetery,"Spaanschemat River Road, Constantia, Cape Town",,,active_or_burial_site,Verified by independent historical source; exact street number not published,Solomon Family Trust,https://solomon-trust.co.za/cemetery.html,
Gauteng,Johannesburg,Westpark Cemetery,Mixed cemetery with Muslim section,"Cnr Beyers Naude and West Park roads, Montgomery Park, Johannesburg",-26.16361,27.98972,active,Verified,JCPZ + 2025 statement + OSM/Wikidata,https://www.jhbcityparksandzoo.com/services-facilities/cemeteries/find-a-cemetery/westpark-cemetery,https://www.jhbcityparksandzoo.com/news-events/news/prioritisation-of-westpark-cemetery-amid-seasonal-challenges
Gauteng,Johannesburg,Newclare Cemetery,Mixed cemetery with Muslim section,"Corner of Maraisburg and Commando roads, Bosmont, Johannesburg",-26.19571,27.95899,active,Verified,JCPZ + OSM/Mapcarta,https://www.jhbcityparksandzoo.com/services-facilities/cemeteries/find-a-cemetery/newclare-cemetery,https://mapcarta.com/W63521643
Gauteng,Johannesburg,Lenasia Cemetery / Avalon,Mixed cemetery with Muslim section,"Snake Road, Klipspruit West, Johannesburg",-26.29570,27.84885,active,Verified,JCPZ + OSM/Mapcarta,https://www.jhbcityparksandzoo.com/services-facilities/cemeteries/find-a-cemetery/lenasia-cemetery,https://mapcarta.com/W832128851
Gauteng,Johannesburg,Braamfontein Cemetery,Mixed cemetery with Muslim section,"18 Graf Street, Braamfontein, Johannesburg",-26.19506,28.02472,historic_or_active,Verified,City of Johannesburg + Mapcarta,https://joburg.org.za/media_/Newsroom/Pages/2013%20articles/2011%20%26%202012%20%20Articles/Martyrs-graves-at-Braamfontein-.aspx,https://mapcarta.com/W26346946
Gauteng,Johannesburg,Brixton Cemetery,Mixed cemetery with Muslim section,"Between Caroline and Bartlet Streets, Brixton, Johannesburg",-26.19634,28.01051,historic_or_active,Verified,JCPZ + OSM/Mapcarta,https://www.jhbcityparksandzoo.com/services-facilities/cemeteries/find-a-cemetery/brixton-cemetery,https://mapcarta.com/W22660821
Gauteng,Roshnee / Vereeniging,Roshnee Muslim Cemetery,Dedicated Muslim cemetery,"1 Ghazali Drive, Roshnee, Vereeniging, 1939",-26.56831,27.94888,active,Verified,Emfuleni tariff + OSM/Mapcarta,https://emfuleni.gov.za/wp-content/uploads/2025/07/Final-Tariff-Booklet-2025-26.pdf,https://mapcarta.com/W1393201023
Gauteng,Benoni,Rynsoord Cemetery,Mixed cemetery with Muslim graves/section,"Main Reef Road, Rynsoord, Benoni, 1501",-26.19716,28.35783,active,Verified,Ekurhuleni Muslim Burial + OSM/Mapcarta,https://muslimburial.co.za/cemetery-databases/,https://mapcarta.com/W29059777
Gauteng,Benoni,Wattville Cemetery,Mixed cemetery with Muslim graves/section,"Wattville, Benoni, Gauteng",-26.22468,28.30662,historic_or_active,Verified,Ekurhuleni Muslim Burial + eGGSA,https://muslimburial.co.za/cemetery-databases/,https://graves.eggsa.org/gauteng/Benoni_Urban/wattville/
Gauteng,Benoni,Styx Road Hostel Cemetery,Mixed cemetery with Muslim graves/section,"Styx Road, Benoni, Gauteng",-26.20952,28.29425,historic_or_active,Verified,Ekurhuleni Muslim Burial + War Graves Project,https://muslimburial.co.za/styx-road-hostel-cemetery/,https://www.southafricawargraves.org/lists/southafrica_gauteng.htm
Gauteng,Springs,Bakerton Cemetery,Mixed cemetery with Muslim graves/section,"Welgedacht Road, Springs, 1559",-26.22197,28.47003,active,Verified,Ekurhuleni Muslim Burial + eGGSA,https://muslimburial.co.za/cemetery-databases/,https://www.graves.eggsa.org/gauteng/SPRINGS-Urban/18%20Dec_001/
Gauteng,Springs,Pietersfield Cemetery,Mixed cemetery with Muslim graves/section,"Pietersfield, Springs, Gauteng",-26.22794,28.45620,active_or_burial_site,Verified,Ekurhuleni Muslim Burial + War Graves Project,https://muslimburial.co.za/cemetery-databases/,https://www.southafricawargraves.org/lists/southafrica_gauteng.htm
KwaZulu-Natal,Durban,Al-Hilal Muslim Cemetery,Dedicated Muslim cemetery,"10 Sheringham Road, Sydenham, Berea, Durban, 4091",,,active,Verified,Waze / local directory,https://www.waze.com/live-map/directions/za/kzn/berea/al-hilal-muslim-cemetery?to=place.ChIJvQH8ZE8H9x4RgMx8q9BKmyk,https://rsa.worldorgs.com/catalog/berea/cemetery/al-hilal-muslim-cemetery
KwaZulu-Natal,Durban,Mayville Cemetery,Muslim burials / community cemetery,"301A Wiggins Road, Mayville, Durban",,,active_or_burial_site,Verified cemetery address; Muslim burial context supported by Durban cemetery records,eThekwini cemetery contact list,https://www.durban.gov.za/storage/PDF%20Documents/Cemeteries%20and%20Crematoria/CONTACT%20AND%20OPERATING%20HOURS%20OF%20CEMETERIES%20AND%20CREMATORIA.pdf,
KwaZulu-Natal,Durban,Merebank Muslim Cemetery,Dedicated Muslim cemetery,"96 Rawalpindi Road, Merewent, Bluff, Durban, 4052",,,active,Verified,Local directory,https://rsa.worldorgs.com/catalog/bluff/cemetery/merebank-muslim-cemetery,
KwaZulu-Natal,Pinetown,Pinetown Muslim Cemetery,Dedicated Muslim cemetery,"Sunnyside Lane, Pinetown, Durban, 3600",,,active,Verified,Waze + eThekwini planning document,https://www.waze.com/live-map/directions/south-africa/kwazulu-natal/pinetown/pinetown-muslim-cemetery?to=place.ChIJf6pyxWj-9h4RupfpyvfNirE,https://dag.durban.gov.za/uploads/0000/6/2025/09/19/pinetown-densification-pilot-business-plan.pdf
KwaZulu-Natal,Pietermaritzburg,Mountain Rise Muslim Cemetery,Dedicated Muslim cemetery,"Northdale, Pietermaritzburg, 3201",,,active,Verified,Waze,https://www.waze.com/live-map/directions/za/kzn/pmb/mountain-rise-muslim-cemetery?to=place.ChIJEcH8wIe79h4RO2RtUntJdQ0,
KwaZulu-Natal,Port Shepstone,Port Shepstone Muslim Cemetery,Dedicated Muslim cemetery,"51 Bazley Street, Port Shepstone, 4240",,,active,Verified,Local directory,https://www.cybo.com/ZA-biz/port-shepstone-muslim-cemetery,
KwaZulu-Natal,Durban,"General Public Cemetery, West Street",Mixed cemetery with Muslim blocks,"West Street, Durban, KwaZulu-Natal",,,historic_or_active,"Verified; bylaw reserves Blocks 17, 27, 29A and 46 for eligible Muslim burials",eThekwini cemetery bylaws,https://dag.durban.gov.za/uploads/0000/6/2025/08/10/cemeteries.pdf,
Eastern Cape,Gqeberha,Muslim Cemetery 1855,Dedicated Muslim cemetery,"Near Saint Mary’s Cemetery / Masjid Aziz, central Gqeberha",-33.96562,25.62517,historic_or_active,Verified,OSM/Mapcarta,https://mapcarta.com/W1550160496,
Eastern Cape,Mthatha,Mthatha Old Cemetery,Mixed cemetery with Muslim section,"Mthatha Old Cemetery, Mthatha, Eastern Cape",-31.60835,28.78997,historic_or_active,Verified; eGGSA shows a Muslim section,eGGSA,https://graveseastcape.eggsa.org/Umtata_Urban/Mthatha_Old%20cem/,
Mpumalanga,Mbombela,Mbombela Old Cemetery / Nelspruit Old Cemetery,Mixed cemetery with Muslim section,"Old Cemetery, Mbombela (Nelspruit), Mpumalanga",-25.46237,30.98016,historic_or_active,Verified; municipal bylaw provides for Muslim cemetery section and local reporting identifies Muslim cemetery,City of Mbombela bylaw + local reporting + cemetery coordinates,https://archive.opengazettes.org.za/archive/ZA-MP/2020/provincial-gazette-ZA-MP-vol-27-no-3220-dated-2020-12-18.pdf,https://tng.page.co.za/showmap.php?cemeteryID=31&tree=page
North West,Rustenburg,Zinniaville Muslim Cemetery,Dedicated Muslim cemetery,"36 Hollis Street, Zinniaville, Rustenburg, 2999",,,active,Verified,Local cemetery directory,https://rsa.worldorgs.com/catalog/rustenburg/cemetery/zinniaville-muslim-cemetery,
North West,Zeerust,Zeerust Muslim Cemetery,Dedicated Muslim cemetery,"Pache Street, Zeerust, 2865",,,active,Verified,Waze / local directory,https://www.waze.com/live-map/directions/za/nw/zeerust/zeerust-muslim-cemetery?to=place.ChIJKzD8tjEfvR4RapCFwmH8E7k,https://rsa.worldorgs.com/catalog/zeerust/cemetery/zeerust-muslim-cemetery
Gauteng,Boksburg,New Boksburg Cemetery / Boksburg Sub-regional Cemetery,Mixed cemetery with Muslim graves/section,"Barry Marais Road, Leeuwpoort 113-Ir, Boksburg, 1459",,,active_or_burial_site,Verified,Ekurhuleni Muslim Burial + Boksburg Sub-regional Cemetery location listing,https://muslimburial.co.za/new-boksburg-cemetery/,https://www.waze.com/af/live-map/directions/za/gp/boksburg/boksburg-sub-regional-cemetery?to=place.ChIJad8GXSsZlR4Rg70ZfKy0K4k
